device,timestamp,temperature_C,CO_ppm,CO2_ppm,power_W,anomaly
microwave,2025-10-25 11:30:53.693775,82.24308970273741,4.744946372780554,411.5524580941092,806.2010766129728,0
microwave,2025-10-25 11:31:03.693775,96.47753398071444,5.28639020393929,415.1424297447022,772.0097357058597,0
microwave,2025-10-25 11:31:13.693775,95.4294347274628,4.95756114836516,476.77239705873353,851.518829375984,0
microwave,2025-10-25 11:31:23.693775,92.67612080049943,5.195594738391435,392.5309912586365,757.1657755485762,0
microwave,2025-10-25 11:31:33.693775,94.62985066817176,5.09917341438622,415.0356764115792,798.6027138509049,0
microwave,2025-10-25 11:31:43.693775,92.72877134133454,5.231807613949351,448.9494617364322,791.7166756423453,0
microwave,2025-10-25 11:31:53.693775,96.39963233356283,4.772165405338728,426.4276578880951,799.0752796860651,0
microwave,2025-10-25 11:32:03.693775,90.93575473170448,5.495475010255604,430.8516968307905,776.7227832454053,0
microwave,2025-10-25 11:32:13.693775,94.1951634767944,5.82727968519491,436.3999959302769,785.9492852643062,0
microwave,2025-10-25 11:32:23.693775,87.69355877500611,4.918978584098477,426.42655879930135,806.1009245623843,0
microwave,2025-10-25 11:32:33.693775,88.58850154462912,5.251722823835598,449.8405950395875,797.6067100312664,0
microwave,2025-10-25 11:32:43.693775,96.2977221910738,5.847637859850715,444.6119323033145,830.3985334447209,0
microwave,2025-10-25 11:32:53.693775,92.89559232321234,4.754113075641612,448.8293473168589,804.8045749328093,0
microwave,2025-10-25 11:33:03.693775,91.32199145267629,4.933147728836754,421.10880410848057,807.1562855336807,0
microwave,2025-10-25 11:33:13.693775,88.57267583664581,4.924714925407796,465.3203204283587,783.567391070679,0
microwave,2025-10-25 11:33:23.693775,97.97389095490664,4.334052622529237,417.7631994070344,807.8529909864016,0
microwave,2025-10-25 11:33:33.693775,88.53650911532944,5.066025116840522,455.4056863725546,763.8470542954233,0
microwave,2025-10-25 11:33:43.693775,88.2017533448742,5.188257967099991,444.694603087916,813.0268226549936,0
